antecedents,consequents,support,confidence,lift
frozenset({'waxed food paper'}),"frozenset({'plastic wrap', 'napkin'})",0.10952380952380952,0.851851851851852,2.104575163398693
"frozenset({'coffee cup sleeve', 'wrapper'})",frozenset({'coffee cup lid'}),0.19047619047619047,0.8695652173913043,2.098950524737631
"frozenset({'coffee cup', 'plastic bottle'})",frozenset({'coffee cup lid'}),0.21904761904761905,0.8679245283018868,2.094990240728692
frozenset({'waxed food paper'}),"frozenset({'plastic lid', 'coffee cup'})",0.1,0.7777777777777779,2.094017094017094
frozenset({'waxed food paper'}),"frozenset({'plastic cutlery', 'coffee cup'})",0.1,0.7777777777777779,2.094017094017094
frozenset({'waxed food paper'}),"frozenset({'napkin', 'coffee cup lid'})",0.10476190476190476,0.8148148148148149,2.086720867208672
frozenset({'banana peel'}),"frozenset({'wrapper', 'coffee cup'})",0.12857142857142856,0.7941176470588234,2.0845588235294117
frozenset({'banana peel'}),"frozenset({'plastic container', 'food scraps'})",0.14761904761904762,0.9117647058823529,2.0812020460358056
"frozenset({'banana peel', 'paper bag'})",frozenset({'food scraps'}),0.11428571428571428,1.0,2.0792079207920793
"frozenset({'banana peel', 'plastic bottle'})",frozenset({'food scraps'}),0.10952380952380952,1.0,2.0792079207920793
"frozenset({'plastic wrap', 'plastic bag'})",frozenset({'food scraps'}),0.11904761904761904,1.0,2.0792079207920793
"frozenset({'plastic cutlery', 'coffee cup sleeve'})",frozenset({'coffee cup'}),0.19047619047619047,0.9302325581395349,2.078179119247897
"frozenset({'plastic container', 'coffee cup sleeve'})",frozenset({'coffee cup'}),0.19047619047619047,0.9302325581395349,2.078179119247897
"frozenset({'coffee cup', 'aluminium can'})",frozenset({'coffee cup lid'}),0.20476190476190476,0.86,2.075862068965517
frozenset({'plastic bag'}),"frozenset({'plastic cup', 'food box'})",0.1523809523809524,0.7804878048780488,2.0747144180302564
"frozenset({'coffee cup sleeve', 'liquids'})",frozenset({'coffee cup'}),0.11428571428571428,0.923076923076923,2.062193126022913
"frozenset({'plastic lid', 'coffee cup sleeve'})",frozenset({'coffee cup lid'}),0.19523809523809524,0.8541666666666667,2.0617816091954024
frozenset({'banana peel'}),"frozenset({'plastic cutlery', 'food scraps'})",0.1523809523809524,0.9411764705882353,2.058823529411765
frozenset({'banana peel'}),"frozenset({'food scraps', 'plastic cup'})",0.14761904761904762,0.9117647058823529,2.058823529411765
frozenset({'plastic bag'}),"frozenset({'wrapper', 'coffee cup'})",0.1523809523809524,0.7804878048780488,2.048780487804878
"frozenset({'plastic wrap', 'coffee cup sleeve'})",frozenset({'coffee cup lid'}),0.13333333333333333,0.8484848484848485,2.0480668756530824
"frozenset({'coffee cup sleeve', 'food box'})",frozenset({'coffee cup'}),0.1523809523809524,0.9142857142857144,2.042553191489362
"frozenset({'plastic cutlery', 'waxed food paper'})",frozenset({'plastic wrap'}),0.1,0.8750000000000001,2.041666666666667
"frozenset({'plastic cup', 'waxed food paper'})",frozenset({'plastic wrap'}),0.1,0.8750000000000001,2.041666666666667
"frozenset({'plastic wrap', 'waxed food paper'})",frozenset({'coffee cup'}),0.1,0.9130434782608696,2.0397779833487513
frozenset({'paper bag'}),"frozenset({'plastic cutlery', 'coffee cup'})",0.23809523809523808,0.7575757575757576,2.0396270396270397
frozenset({'banana peel'}),"frozenset({'food scraps', 'napkin'})",0.1523809523809524,0.9411764705882353,2.037598544572468
frozenset({'coffee cup sleeve'}),"frozenset({'coffee cup', 'coffee cup lid'})",0.22380952380952382,0.824561403508772,2.037151702786378
frozenset({'plastic bag'}),"frozenset({'plastic lid', 'coffee cup'})",0.14761904761904762,0.7560975609756098,2.0356472795497185
frozenset({'plastic bag'}),"frozenset({'plastic cutlery', 'coffee cup'})",0.14761904761904762,0.7560975609756098,2.0356472795497185
"frozenset({'plastic lid', 'waxed food paper'})",frozenset({'coffee cup lid'}),0.1,0.8400000000000001,2.027586206896552
frozenset({'plastic bag'}),"frozenset({'food scraps', 'wrapper'})",0.17142857142857143,0.8780487804878049,2.026266416510319
"frozenset({'coffee cup sleeve', 'plastic straw'})",frozenset({'coffee cup'}),0.18571428571428572,0.9069767441860466,2.0262246412666998
frozenset({'coffee cup sleeve'}),"frozenset({'napkin', 'coffee cup lid'})",0.21428571428571427,0.7894736842105263,2.0218228498074455
"frozenset({'plastic cutlery', 'banana peel'})",frozenset({'food scraps'}),0.1523809523809524,0.9696969696969698,2.0162016201620165
"frozenset({'banana peel', 'wrapper'})",frozenset({'food scraps'}),0.1523809523809524,0.9696969696969698,2.0162016201620165
"frozenset({'paper bag', 'liquids'})",frozenset({'food scraps'}),0.1523809523809524,0.9696969696969698,2.0162016201620165
"frozenset({'plastic container', 'banana peel'})",frozenset({'food scraps'}),0.14761904761904762,0.9687499999999999,2.0142326732673266
frozenset({'waxed food paper'}),"frozenset({'coffee cup', 'coffee cup lid'})",0.10476190476190476,0.8148148148148149,2.0130718954248366
"frozenset({'coffee cup sleeve', 'napkin'})",frozenset({'coffee cup lid'}),0.21428571428571427,0.8333333333333334,2.0114942528735633
"frozenset({'plastic sauce cup', 'food box'})",frozenset({'coffee cup lid'}),0.14285714285714285,0.8333333333333333,2.011494252873563
"frozenset({'coffee cup sleeve', 'plastic cup'})",frozenset({'coffee cup'}),0.21428571428571427,0.9,2.0106382978723403
"frozenset({'banana peel', 'coffee cup'})",frozenset({'food scraps'}),0.12857142857142856,0.9642857142857142,2.0049504950495045
frozenset({'plastic bag'}),"frozenset({'plastic container', 'food scraps'})",0.17142857142857143,0.8780487804878049,2.0042417815482505
"frozenset({'plastic wrap', 'banana peel'})",frozenset({'food scraps'}),0.12380952380952381,0.9629629629629631,2.0022002200220026
"frozenset({'banana peel', 'coffee cup lid'})",frozenset({'food scraps'}),0.11904761904761904,0.9615384615384615,1.999238385376999
"frozenset({'coffee cup sleeve', 'aluminium can'})",frozenset({'coffee cup lid'}),0.11428571428571428,0.8275862068965516,1.997621878715814
"frozenset({'coffee cup sleeve', 'wrapper'})",frozenset({'coffee cup'}),0.19523809523809524,0.8913043478260869,1.9912118408880664
frozenset({'coffee cup sleeve'}),frozenset({'coffee cup lid'}),0.22380952380952382,0.824561403508772,1.990320629159105
"frozenset({'banana peel', 'paper wrapper'})",frozenset({'food scraps'}),0.10476190476190476,0.9565217391304348,1.988807576409815
"frozenset({'liquids', 'plastic sauce cup'})",frozenset({'food scraps'}),0.10476190476190476,0.9565217391304348,1.988807576409815
frozenset({'plastic bag'}),"frozenset({'plastic lid', 'food box'})",0.15714285714285714,0.8048780487804877,1.9885222381635579
"frozenset({'napkin', 'waxed food paper'})",frozenset({'plastic wrap'}),0.10952380952380952,0.851851851851852,1.9876543209876547
frozenset({'waxed food paper'}),frozenset({'plastic wrap'}),0.10952380952380952,0.851851851851852,1.9876543209876547
"frozenset({'coffee cup sleeve', 'paper bag'})",frozenset({'coffee cup'}),0.11428571428571428,0.888888888888889,1.9858156028368794
"frozenset({'paper bowl', 'plastic bag'})",frozenset({'food scraps'}),0.1,0.9545454545454546,1.9846984698469847
